ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ,มูลค่า
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาปากคม,484.00,"15,073.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาดาบเงิน,16.00,"1,284.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลากะพงแดง,20.00,"2,776.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาตาโต,43.00,"1,842.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาดุกทะเล,6.00,640.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลากระเบน,1.00,54.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาลิ้นหมา,5.00,426.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลายอดจาก,2.00,92.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาเก๋า,7.00,"1,245.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาเลยหน้าดิน,639.00,"18,647.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาเลยผิวน้ำ,9.00,262.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาเป็ด,"1,949.00","16,566.00"
